id,name,description,no,element_id,rarity_id,base_hp,base_atk,base_def,base_rec,ls_id,bb_id,numhits,created_at,updated_at,slug,realname,cost,max_lvl,max_hp,max_atk,max_def,max_rec,a_hp,a_rec,b_atk,b_def,g_atk,g_def,o_hp,o_rec,sbb,sbb_hits,bb_refill,bb_hits,Leader Skill,Brave Burst,bb_type_id,Unit_Category_id
136,Shida,,133,4,3,2925,1020,633,1029,,133,6,47:46.1,25:30.9,shida,Shida,5,40,2925,1020,633,1029,3227,952,1104,550,941,770,2636,1108,,0,0,6,Valiant Power,Catastrophe,1,9
137,Garroter Shida,,134,4,4,3417,1282,850,1350,,134,6,47:46.2,25:30.9,garroter-shida,Shida,8,60,3417,1282,850,1350,3868,1228,1400,741,1159,981,2994,1473,,0,0,8,Royal Power,Dark Matter,1,9
138,Phoenix,,135,1,3,3310,732,1064,532,,135,3,47:46.2,25:30.9,phoenix,Phoenix,5,40,3310,732,1064,532,3597,465,804,972,647,1133,3022,603,,0,0,0,Loving Spirit,Burning Feather,2,10
139,Lava Phoenix,,136,1,4,4202,983,1320,810,,136,4,47:46.2,25:30.9,lava-phoenix,Phoenix,8,60,4202,983,1320,810,4432,659,1095,1204,864,1438,3744,921,,0,0,0,Loving Spirit,Ignited Feather,2,10
140,God Phoenix,,137,1,5,4995,1125,1517,951,,137,6,47:46.2,25:30.9,god-phoenix,Phoenix,12,80,4995,1125,1517,951,5602,792,1280,1353,965,1673,4399,1104,,0,0,0,Loving Devotion,Phoenix Feather,2,10
141,Leviathan,,138,2,3,3240,708,1094,513,,138,3,47:46.2,25:30.9,leviathan,Leviathan,5,40,3240,708,1094,513,3534,430,787,1017,633,1172,2949,595,,0,0,4,Ares' Light,Tidal Wave,1,10
142,Loch Ness,,139,2,4,4125,970,1354,783,,139,4,47:46.2,25:30.9,loch-ness,Leviathan,8,60,4125,970,1354,783,4546,660,1092,1246,864,1483,3690,902,,0,0,5,Ares' Light,Maelstrom,1,10
143,Malnaplis,,140,2,5,4900,1097,1552,927,,140,5,47:46.2,25:30.9,malnaplis,Leviathan,12,80,4900,1097,1552,927,5501,753,1250,1410,945,1709,4299,1081,,0,0,6,Ares' Authority,Calamity Wave,1,10
144,Great Tree Alneu,,141,6,3,3352,726,1056,562,,141,3,47:46.2,25:30.9,great-tree-alneu,Tree,5,40,3352,726,1056,562,3653,482,803,977,644,1135,3044,644,,0,0,0,Loving Spirit,Lucent Purge,2,10
145,World Tree Altro,,142,6,4,4274,975,1380,824,,142,4,47:46.2,25:31.0,world-tree-altro,Tree,8,60,4274,975,1380,824,5206,600,1084,1259,853,1503,3856,935,,0,0,0,Loving Spirit,Benevolence Purge,2,10
146,God Tree Eltri,,143,6,5,5051,1110,1577,988,,143,6,47:46.2,25:31.0,god-tree-eltri,Tree,12,80,5051,1110,1577,988,5682,827,1271,1437,949,1734,4468,1151,,0,0,0,Loving Devotion,God Purge,2,10
147,Behemoth,,144,5,3,3380,764,1027,473,,144,1,47:46.2,25:31.0,behemoth,Behemoth,5,40,3380,764,1027,473,3670,397,838,950,689,1092,3091,558,,0,0,2,Intense Light,Crash Bind,1,10
148,King Behemoth,,145,5,4,4304,994,1297,743,,145,3,47:46.2,25:31.0,king-behemoth,Behemoth,8,60,4304,994,1297,743,4763,629,1114,1175,866,1423,3885,851,,0,0,3,Intense Flash,Meteor Zapper,1,10
149,Alpha Behemoth,,146,5,5,5090,1154,1507,876,,146,3,47:46.2,25:31.0,alpha-behemoth,Behemoth,12,80,5090,1154,1507,876,5682,713,1306,1345,996,1672,4496,1023,,0,0,4,Intense Strobe,Rodmagia Grudge,1,10
150,Wyvern,,147,3,3,2890,1064,728,453,,147,3,47:46.2,25:31.0,wyvern,Wyvern,5,40,2890,1064,728,453,3196,367,1143,647,982,804,2607,536,,0,0,4,Ares' Light,Dragon VoWater,1,10
151,Bahamut,,148,3,4,3788,1310,944,827,,148,4,47:46.2,25:31.0,bahamut,Wyvern,8,60,3788,1310,944,827,4221,606,1434,823,1191,1055,3370,833,,0,0,5,Ares' Light,Genocide Blaster,1,10
152,Rameldria,,149,3,5,4424,1517,1155,850,,149,5,47:46.2,25:31.0,rameldria,Wyvern,12,80,4424,1517,1155,850,5028,686,1666,993,1364,1304,4200,1088,,0,0,6,Ares' Authority,Skydragon Gun,1,10
153,Memetes,,150,4,3,2876,1088,700,434,,150,3,47:46.3,25:31.0,memetes,Lodaga,5,40,2876,1088,700,434,3171,362,1167,621,1012,770,2599,510,,0,0,4,Intense Light,Climb Pain,1,10
154,Hell King Hades,,151,4,4,4149,1325,1008,689,,151,3,47:46.3,25:31.0,hell-king-hades,Lodaga,8,60,4149,1325,1008,689,4203,576,1445,790,1209,1130,3497,855,,0,0,5,Intense Flash,Chaos Fall,1,10
155,Death God Lodaga,,152,4,5,4405,1545,1121,827,,152,4,47:46.3,25:31.1,death-god-lodaga,Lodaga,12,80,4405,1545,1121,827,5007,663,1695,951,1393,1288,3804,994,,0,0,6,Intense Strobe,World of Darkness,1,10
156,Lava,,153,1,3,3100,938,898,850,,153,3,47:46.3,25:31.1,lava,Lava,5,40,3100,938,898,850,3410,768,1092,825,853,979,2808,923,,0,0,4,Fire Spirit's Power,Blazing Inferno,1,11
157,Fire Knight Lava,,154,1,4,3948,1188,1153,1085,,154,4,47:46.3,25:31.1,fire-knight-lava,Lava,8,60,3948,1188,1153,1085,4366,980,1418,917,1060,1270,3509,1210,,0,0,5,Fire God's Power,Prometheus Burn,1,11
158,Fire God Lava,,155,1,5,4680,1378,1330,1085,,155,7,47:46.3,25:31.1,fire-god-lava,Lava,12,80,4680,1378,1330,1085,5295,1123,1540,1179,1218,1487,4091,1430,,0,15,10,Fire God's Power,Anguish Blade,1,11
159,Captain Mega,,156,2,3,2819,1055,660,1360,,156,3,47:46.3,25:31.1,captain-mega,Mega,5,40,2819,1055,660,1360,3383,1216,1213,660,984,742,2531,1451,,0,0,4,Water Spirit's Power,Ocean Whirlpool,1,11
160,War Captain Mega,,157,2,4,3666,1319,910,1550,,157,3,47:46.3,25:31.1,war-captain-mega,Mega,8,60,3666,1319,910,1550,4116,1430,1439,786,1203,1027,3487,1720,,0,0,5,Water God's Power,Tempest Gallows,1,11
161,Commander Mega,,158,2,5,4169,1517,1064,1815,,158,6,47:46.3,25:31.1,commander-mega,Mega,12,80,4169,1517,1064,1815,4775,1702,1671,910,1363,1219,3570,2016,,0,15,6,Water God's Power,Cyclone Disaster,1,11
162,Gunner Douglas,,159,6,3,3380,675,994,450,,159,8,47:46.3,25:31.1,gunner-douglas,Douglas,5,40,3380,675,994,450,3671,378,763,917,591,1068,3079,525,,0,0,10,Earth Spirit's Power,Zafonic Bullet,1,11
163,Gun King Douglas,,160,6,4,4278,917,1237,675,,160,10,47:46.3,25:31.1,gun-king-douglas,Douglas,8,60,4278,917,1237,675,4748,552,1033,1106,807,1361,3851,795,,0,0,15,Earth God's Power,Genocidal Grit,1,11
164,Gun God Douglas,,161,6,5,5090,1050,1444,817,,161,12,47:46.3,25:31.1,gun-god-douglas,Douglas,12,80,5090,1050,1444,817,5713,659,1323,1285,881,1617,4496,984,,0,9,20,Earth God's Power,Shining Zork,1,11
165,Emilia,,162,5,3,3120,924,871,875,,162,4,47:46.3,25:31.2,emilia,Emilia,5,40,3120,924,871,875,3412,794,996,798,876,948,2840,945,,0,0,5,Thunder Spirit's Power,Cross Layer Blitz,1,11
166,Princess Emilia,,163,5,4,3972,1170,1122,1085,,163,4,47:46.3,25:31.2,princess-emilia,Emilia,8,60,3972,1170,1122,1085,4392,968,1289,1011,1059,1241,3518,1199,,0,0,5,Thunder God's Power,Elznet Saber,1,11
167,Goddess Emilia,,164,5,5,4707,1341,1309,1304,,164,6,47:46.3,25:31.2,goddess-emilia,Emilia,12,80,4707,1341,1309,1304,5301,1163,1501,1142,1179,1477,4471,1550,,0,9,7,Thunder God's Power,Genocide Levin,1,11
168,Knight Will,,165,3,3,3490,838,938,475,,165,1,47:46.3,25:31.2,knight-will,Will,5,40,3490,838,938,475,3779,395,924,861,761,1118,3198,557,,0,0,2,Light Spirit's Power,Galactic Volley,1,11
169,Holy Knight Will,,166,3,4,4356,1087,1183,702,,166,3,47:46.3,25:31.2,holy-knight-will,Will,8,60,4356,1087,1183,702,4815,589,1204,1066,869,1415,3498,922,,0,0,4,Light God's Power,Sacred Force,1,11
170,God Knight Will,,167,3,5,5239,1240,1368,847,,167,5,47:46.3,25:31.2,god-knight-will,Will,12,80,5239,1240,1368,847,5832,690,1392,1202,1080,1519,4724,987,,0,15,6,Light God's Power,Astral Nova,1,11
171,Alice,,168,4,3,2680,1024,645,1400,,168,3,47:46.3,25:31.3,alice,Alice,5,40,2680,1024,645,1400,2950,1328,1101,565,945,721,2400,1483,,0,0,6,Dark Spirit's Power,Shadow Insult,1,11
172,Scythe Alice,,169,4,4,3450,1310,863,1610,,169,3,47:46.3,25:31.3,scythe-alice,Alice,8,60,3450,1310,863,1610,3904,1489,1550,738,1060,1096,3020,1738,,0,0,7,Dark God's Power,Crimson Reaper,1,11
173,Scythe God Alice,,170,4,5,3986,1503,1171,1898,,170,5,47:46.3,25:31.3,scythe-god-alice,Alice,12,80,3986,1503,1171,1898,4573,1737,1656,1019,1344,1328,3382,2131,,0,15,8,Dark God's Power,Abaddon Eater,1,11
174,Fire Nymph,,171,1,1,,,,,,171,,47:46.3,06:45.1,fire-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
175,Water Nymph,,172,2,1,,,,,,171,,47:46.3,07:35.6,water-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
176,Earth Nymph,,173,6,1,,,,,,171,,47:46.3,13:46.9,earth-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
177,Thunder Nymph,,174,5,1,,,,,,171,,47:46.3,13:46.9,thunder-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
178,Light Nymph,,175,3,1,,,,,,171,,47:46.3,13:46.9,light-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
179,Dark Nymph,,176,4,1,,,,,,171,,47:46.3,25:33.4,dark-nymph,,2,1,,,,,,,,,,,,,,,,,,,,12
180,Fire Spirit,,177,1,2,,,,,,171,,47:46.3,13:47.0,fire-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
181,Water Spirit,,178,2,2,,,,,,171,,47:46.3,13:47.0,water-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
182,Earth Spirit,,179,6,2,,,,,,171,,47:46.4,13:47.0,earth-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
183,Thunder Spirit,,180,5,2,,,,,,171,,47:46.4,13:47.0,thunder-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
184,Light Spirit,,181,3,2,,,,,,171,,47:46.4,13:47.0,light-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
185,Dark Spirit,,182,4,2,,,,,,171,,47:46.4,13:47.0,dark-spirit,,5,1,,,,,,,,,,,,,,,,,,,,13
186,Fire Idol,,183,1,3,2300,500,500,100,,171,5,47:46.4,25:31.3,fire-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
187,Water Idol,,184,2,3,2300,500,500,100,,171,5,47:46.4,25:31.3,water-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
188,Earth Idol,,185,6,3,2300,500,500,100,,171,5,47:46.4,25:31.3,earth-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
189,Thunder Idol,,186,5,3,2300,500,500,100,,171,5,47:46.4,25:31.3,thunder-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
190,Light Idol,,187,3,3,2300,500,500,100,,171,5,47:46.4,25:31.3,light-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
191,Dark Idol,,188,4,3,2300,500,500,100,,171,5,47:46.4,25:31.3,dark-idol,Idol,8,1,2300,500,500,100,2300,100,500,500,500,500,2300,100,,0,0,0,,,,14
192,Fire Totem,,189,1,4,3300,700,700,50,,171,4,47:46.4,25:31.3,fire-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
193,Water Totem,,190,2,4,3300,700,700,50,,171,4,47:46.4,25:31.4,water-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
194,Earth Totem,,191,6,4,3300,700,700,50,,171,4,47:46.4,25:31.4,earth-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
195,Thunder Totem,,192,5,4,3300,700,700,50,,171,4,47:46.4,25:31.4,thunder-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
196,Light Totem,,193,3,4,3300,700,700,50,,171,4,47:46.4,25:31.4,light-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
197,Dark Totem,,194,4,4,3300,700,700,50,,171,4,47:46.4,25:31.4,dark-totem,Totem,10,1,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,,,,15
198,Jewel Ghost,,195,3,2,,,,,,171,,47:46.4,13:47.0,jewel-ghost,,3,1,,,,,,,,,,,,,,,,,,,,16
199,Jewel King,,196,3,3,1500,123,123,123,,171,1,47:46.4,25:31.4,jewel-king,Jewel,6,1,1500,123,123,123,1500,123,123,123,123,123,1500,123,,0,0,0,,,,16
200,Jewel God,,197,3,4,2000,123,123,123,,171,1,47:46.4,25:31.4,jewel-god,Jewel,9,1,2000,123,123,123,2000,123,123,123,123,123,2000,123,,0,0,0,,,,16
201,Metal Ghost,,198,4,3,1000,123,123,123,,171,1,47:46.4,25:31.4,metal-ghost,Metal,3,1,1000,123,123,123,1000,123,123,123,123,123,1000,123,,0,0,0,,,,16
202,Metal King,,199,4,4,1500,123,123,123,,171,2,47:46.4,25:31.4,metal-king,Metal,6,1,1500,123,123,123,1500,123,123,123,123,123,1500,123,,0,0,0,,,,16
203,Metal God,,200,4,5,2000,123,123,123,,171,3,47:46.4,25:31.4,metal-god,Metal,9,1,2000,123,123,123,2000,123,123,123,123,123,2000,123,,0,0,0,,,,16
204,Mimic,,201,4,3,1188,666,666,666,,171,1,47:46.4,25:31.5,mimic,Mimic,2,1,1188,666,666,666,1188,666,666,666,666,666,1188,666,,0,0,0,,,,16
205,Bat Mimic,,202,4,4,2188,666,666,666,,171,1,47:46.4,25:31.5,bat-mimic,Mimic,6,1,2188,666,666,666,2188,666,666,666,666,666,2188,666,,0,0,0,,,,16
206,Blacksmith Galant,,203,1,2,,,,,,172,1,47:46.4,13:47.0,blacksmith-galant,,4,30,,,,,,,,,,,,,,,,,Intense Light,Focal Blast,1,17
207,Bruiser Galant,,204,1,3,2550,1064,1064,585,,173,1,47:46.4,25:31.5,bruiser-galant,Galant,6,40,2550,1064,1064,585,2844,508,1144,984,991,1144,0,0,,0,0,5,Intense Flash,Grenade buster,1,17
208,God Arm Galant,,205,1,4,3276,1236,1324,725,,174,1,47:46.4,25:31.5,god-arm-galant,Galant,10,60,3276,1236,1324,725,3726,607,1482,1201,1121,1439,2845,840,,0,10,6,Intense Strobe,Ignis Nebula,1,17
209,Stya,,206,2,2,,,,,,175,5,47:46.4,13:47.0,stya,,4,30,,,,,,,,,,,,,,,,,Fighting Light,Glacier Circle,1,17
210,Snow Blade Stya,,207,2,3,2430,1006,689,1022,,176,7,47:46.4,25:31.6,snow-blade-stya,Stya,6,40,2430,1006,689,1022,2703,936,1088,607,933,760,2128,1086,,0,0,8,Fighting Flash,Avalanche,1,17
211,Frost Queen Stya,,208,2,4,3103,1207,800,1459,,177,10,47:46.4,25:31.6,frost-queen-stya,Stya,10,60,3103,1207,800,1459,3525,1339,1323,685,1091,912,2671,1580,,0,9,10,Fighting Strobe,Eternal Winter,1,17
212,Boxer Nemia,,209,6,2,,,,,,178,3,47:46.5,13:47.1,boxer-nemia,,4,30,,,,,,,,,,,,,,,,,Valiant Power,Tierra Knuckle,1,17
213,Brawler Nemia,,210,6,3,3224,1092,627,576,,179,4,47:46.5,25:31.6,brawler-nemia,Nemia,6,40,3224,1092,627,576,3505,498,1170,553,1064,732,2939,657,,0,0,4,Valiant Power,Adamant Crack,1,17
214,Gaia Fist Nemia,,211,6,4,3875,1277,763,704,,180,5,47:46.5,25:31.6,gaia-fist-nemia,Nemia,10,60,3875,1277,763,704,4310,594,1401,643,1160,867,0,0,,0,8,5,Royal Power,Grand Geyser,1,17
215,Zeln,,212,5,2,,,,,,181,,47:46.5,13:47.1,zeln,,4,30,,,,,,,,,,,,,,,,,Valiant Power,Quick Kick,1,17
216,Spark Kick Zeln,,213,5,3,3309,1079,640,614,,182,4,47:46.5,25:31.6,spark-kick-zeln,Zeln,6,40,3309,1079,640,614,3607,544,1270,566,1000,708,3194,732,,0,0,4,Valiant Power,Spark Kick,1,17
217,Thunder Kick Zeln,,214,5,4,4021,1255,780,768,,171,5,47:46.5,25:31.6,thunder-kick-zeln,Zeln,10,60,4021,1255,780,768,4461,644,1364,672,1133,891,3585,887,,0,10,5,,,1,17
218,Traveler Alma,,215,3,2,,,,,,183,3,47:46.5,13:47.1,traveler-alma,,4,30,,,,,,,,,,,,,,,,,,Brave Edge,1,17
219,Adventurer Alma,,216,3,3,2780,904,845,951,,184,4,47:46.5,25:31.6,adventurer-alma,Alma,6,40,2780,904,845,951,3390,795,977,768,836,924,2483,1031,,0,0,5,Pulsating Energy,Brave Impact,1,17
220,Hero Alma,,217,3,4,3477,1074,1023,1218,,185,5,47:46.5,25:31.6,hero-alma,Alma,10,60,3477,1074,1023,1218,3916,1096,1199,904,951,1141,2572,1440,,0,7,7,Pulsating Energy,Star Dust Fall,1,17
221,Ninja Oboro,,218,4,2,,,,,,186,3,47:46.5,13:47.1,ninja-oboro,,4,30,,,,,,,,,,,,,,,,,Ares' Light,Ninjitsu: Blade Drop,1,17
222,Assassin Oboro,,219,4,3,2828,952,819,877,,187,4,47:46.5,25:31.7,assassin-oboro,Oboro,6,40,2828,952,819,877,3079,794,1025,745,870,892,2533,953,,0,0,5,Ares' Light,Assassin Dagger,1,17
223,Shadow Oboro,,220,4,4,3545,1133,989,1102,,188,5,47:46.5,25:31.7,shadow-oboro,Oboro,10,60,3545,1133,989,1102,3986,983,1250,866,1024,1107,3086,1209,,0,10,6,Ares' Authority,Ritual: Foreign Demon,1,17
224,Lancia,,221,1,3,3170,650,880,1241,,189,2,47:46.5,25:31.7,lancia,Lancia,5,40,3170,650,880,1241,3460,1158,729,795,572,955,2871,1310,,0,0,0,Pure Light,Lovely Cooking,2,18
225,Hot Chef Lancia,,222,1,4,4097,910,1148,1534,,190,2,47:46.5,25:31.7,hot-chef-lancia,Lancia,8,60,4097,910,1148,1534,4526,1425,1022,1041,793,1250,3684,1654,,0,0,0,Pure Shining,Hearty Dish,2,18
226,Head Chef Lancia,,223,1,5,4774,1036,1339,1804,,191,3,47:46.5,25:31.7,head-chef-lancia,Lancia,12,80,4774,1036,1339,1804,5340,1643,1188,1197,873,1499,4209,1959,,0,10,0,Pure Strobe,Gourmet Dish,2,18
227,Elimo,,224,2,3,3100,598,902,1275,,192,3,47:46.5,25:31.7,elimo,Elimo,5,40,3100,598,902,1275,3392,1192,675,824,512,979,2801,1354,,0,0,0,Loving Spirit,Aether Guard,2,18
228,Royal Elimo,,225,2,4,3900,858,1176,1596,,193,4,47:46.5,25:31.7,royal-elimo,Elimo,8,60,3900,858,1176,1596,4332,1478,974,1056,743,1299,3463,1719,,0,0,0,Loving Spirit,Aether Shield,2,18
229,Genius Elimo,,226,2,5,4680,1003,1376,1873,,194,5,47:46.5,25:31.7,genius-elimo,Elimo,12,80,4680,1003,1376,1873,5262,1729,1169,1228,848,1533,4102,2040,,0,10,0,Loving Devotion,GuardianForce,2,18
230,Pixy Leore,,227,6,3,3252,945,675,930,,195,4,47:46.5,25:31.7,pixy-leore,Leore,5,40,3252,945,675,930,3548,850,1000,555,870,754,2973,1010,,0,0,6,Valiant Power,Mirage Needle,1,18
231,Pixy Royal Leore,,228,6,4,4122,1197,924,1080,,196,5,47:46.5,25:31.8,pixy-royal-leore,Leore,8,60,4122,1197,924,1080,4578,966,1307,800,1071,1049,3717,1191,,0,0,7,Royal power,Million Thrust,1,18
232,Pixy King Leore,,229,6,5,4946,1386,1049,1348,,197,7,47:46.5,25:31.8,pixy-king-leore,Leore,12,80,4946,1386,1049,1348,5526,1202,1553,904,1225,1214,4362,1501,,0,0,10,Dynasty Power,Heavy Riposte,1,18
233,Tinkerer Elulu,,230,5,3,2750,1080,600,1416,,198,1,47:46.5,25:31.8,tinkerer-elulu,Elulu,5,40,2750,1080,600,1416,3034,1338,1156,527,1004,672,2459,1492,,0,0,2,Intense Light,Spark Hammer,1,18
234,Inventor Elulu,,231,5,4,3417,1360,786,1600,,199,2,47:46.5,25:31.8,inventor-elulu,Elulu,8,60,3417,1360,786,1600,3885,1471,1482,669,1253,898,2964,1717,,0,0,3,Intense Flash,Thunder Crush,1,18
235,Bolt Mallet Elulu,,232,5,5,4051,1593,962,1960,,200,3,47:46.5,25:31.8,bolt-mallet-elulu,Elulu,12,80,4051,1593,962,1960,4646,1808,1823,803,1432,1120,3479,2136,,0,15,4,Intense Strobe,Lightning Smash,1,18
236,Knight Aem,,233,3,3,3345,1037,619,645,,201,2,47:46.5,25:31.8,knight-aem,Aem,5,40,3345,1037,619,645,3655,563,1118,542,960,694,3063,720,,0,0,7,Pulsating Energy,Dragon Slayer,1,18
237,Champion Aem,,234,3,4,4250,1323,831,850,,202,3,47:46.5,25:31.8,champion-aem,Aem,8,60,4250,1323,831,850,4713,747,1442,731,1196,954,3802,966,,0,0,7,Pulsating Energy,God Slayer,1,18
238,Holy Master Aem,,235,3,5,5167,1529,1000,1014,,203,5,47:46.5,25:31.8,holy-master-aem,Aem,12,80,5167,1529,1000,1014,5740,865,1678,832,1364,1156,4576,1173,,0,12,7,Pulsating Retribution,Radiant Heaven,1,18
239,Lemia,,236,4,3,3100,840,840,1080,,204,3,47:46.5,25:31.8,lemia,Lemia,5,40,3100,840,840,1080,3369,1011,913,763,764,913,2810,1166,,0,0,5,Soul Light,Gravity Bomb,1,18
240,Necromancer Lemia,,237,4,4,4020,1056,1056,1320,,205,5,47:46.5,25:31.9,necromancer-lemia,Lemia,8,60,4020,1056,1056,1320,4461,1189,1172,939,944,1168,3574,1434,,0,0,6,Soul Flash,Glasya Labolas,1,18
241,Soul Keeper Lemia,,238,4,5,4796,1261,1261,1547,,206,8,47:46.6,25:31.9,soul-keeper-lemia,Lemia,12,80,4796,1261,1261,1547,5374,1399,1419,1106,1115,1420,4184,1711,,0,15,8,Soul Strobe,Black Hole,1,18
242,Lorand,,239,1,3,3170,1275,702,901,,207,3,47:46.6,25:31.9,lorand,Lorand,5,40,3170,1275,702,901,3458,828,1300,631,1137,779,2879,979,,0,0,3,Fire Spirit's Power,Burning Spirit,1,18
243,Professor Lorand,,240,1,4,4122,1540,972,1095,,208,4,47:46.6,25:31.9,professor-lorand,Lorand,8,60,4122,1540,972,1095,4579,967,1653,854,1419,1096,3687,1212,,0,0,4,Fire God's Power,Flaming Spirit,1,18
244,Master Lorand,,241,1,5,4983,1800,1140,1334,,209,5,47:46.6,25:31.9,master-lorand,Lorand,12,80,4983,1800,1140,1334,5591,1175,1966,980,1648,1294,4372,1490,,0,0,5,Fire God's Power,Balzing Spirit,1,18
245,Dean,,242,2,3,3632,1014,1014,1190,,210,4,47:46.6,25:31.9,dean,Dean,5,40,3632,1014,1014,1190,3918,1100,1085,938,929,1096,3343,1257,,0,0,4,Water Spirit's Power,Solid Ice,1,18
246,Ice Mage Dean,,243,2,4,4470,1323,1274,1350,,211,5,47:46.6,25:31.9,ice-mage-dean,Dean,8,60,4470,1323,1274,1350,4915,1229,1452,1162,1212,1402,4017,1471,,0,0,5,Water God's Power,Diamond Dust,1,18
247,Ice Wizard Dean,,244,2,5,5102,1502,1424,1652,,8,6,47:46.6,25:32.0,ice-wizard-dean,Dean,12,80,5102,1502,1424,1652,5704,1484,1651,1277,1346,1592,4513,1799,,0,16,6,Water God's Power,Absolute Zero,1,18
248,Edea,,245,6,3,3495,1080,1056,969,,212,4,47:46.6,25:32.0,edea,Edea,5,40,3495,1080,1056,969,3792,882,1166,975,997,1140,3222,1044,,0,0,4,Earth Spirit's Power,Grand Bash,1,18
249,Earth Knight Edea,,246,6,4,4275,1350,1400,1116,,213,6,47:46.6,25:32.0,earth-knight-edea,Edea,8,60,4275,1350,1400,1116,4729,998,1460,1283,1232,1513,4092,1302,,0,0,6,Earth God's Power,Astro Bash,1,18
250,Mother Earth Edea,,247,6,5,5016,1581,1656,1404,,214,8,47:46.6,25:32.0,mother-earth-edea,Edea,12,80,5016,1581,1656,1404,5623,1249,1734,1492,1432,1804,4399,1561,,0,9,8,Earth God's Power,Grand Cross,1,18
251,Loch,,248,5,3,3660,1042,987,1105,,215,3,47:46.6,25:32.0,loch,Loch,5,40,3660,1042,987,1105,3951,1030,1119,905,962,1062,3374,1180,,0,0,5,Thunder Spirit's Power,Lightning Arrow,1,18
252,Shock Bow Loch,,249,5,4,4500,1336,1296,1275,,216,4,47:46.6,25:32.0,shock-bow-loch,Loch,8,60,4500,1336,1296,1275,4934,1162,1455,1178,1221,1409,4055,1400,,0,0,6,Thunder God's Power,Pulsar Fall,1,18
253,Zeus Bow Loch,,250,5,5,5230,1525,1470,1552,,217,5,47:46.6,25:32.0,zeus-bow-loch,Loch,12,80,5230,1525,1470,1552,5800,1400,1697,1322,1378,1614,4640,1704,,0,16,7,Thunder God's Power,Rising Nova,1,18
331,Light Emperor Nekki (JP),,251,3,4,0,0,0,0,,,5,32:15.4,25:32.0,light-emperor-nekki-jp,Nekki,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,,,,18
332,Light Fox God Nekki (JP),,252,3,5,0,0,0,0,,,6,32:15.7,25:32.0,light-fox-god-nekki-jp,Nekki,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6,,,,18
333,Platinum Key Nekki (JP),,253,3,5,0,0,0,0,,,5,32:15.8,25:32.0,platinum-key-nekki-jp,Nekki,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,18
254,Fire Ghost,,254,1,3,1000,125,123,120,,171,1,47:46.6,25:32.1,fire-ghost,Metal,3,1,1000,125,123,120,1000,120,125,123,125,123,1000,120,,0,0,0,,,,19
255,Fire King,,255,1,4,1500,125,123,120,,171,2,47:46.6,25:32.1,fire-king,Metal,6,1,1500,125,123,120,1500,120,125,123,125,123,1500,120,,0,0,0,,,,19
256,Fire God,,256,1,5,2000,125,123,120,,171,3,47:46.6,25:32.1,fire-god,Metal,9,1,2000,125,123,120,2000,120,125,123,125,123,2000,120,,0,0,0,,,,19
257,Water Ghost,,257,2,3,1000,120,123,125,,171,1,47:46.6,25:32.1,water-ghost,Metal,3,1,1000,120,123,125,1000,125,120,123,120,123,1000,125,,0,0,0,,,,19
258,Water King,,258,2,4,1500,120,123,125,,171,2,47:46.6,25:32.1,water-king,Metal,6,1,1500,120,123,125,1500,125,120,123,120,123,1500,125,,0,0,0,,,,19
259,Water God,,259,2,5,2000,120,123,125,,171,3,47:46.6,25:32.1,water-god,Metal,9,1,2000,120,123,125,2000,125,120,123,120,123,2000,125,,0,0,0,,,,19
260,Earth Ghost,,260,6,3,1100,122,122,122,,171,1,47:46.6,25:32.1,earth-ghost,Metal,3,1,1100,122,122,122,1100,122,122,122,122,122,1100,122,,0,0,0,,,,19
